state_name,state_population_2023
Baden-Württemberg / Baden-Württemberg,11230740
Bavaria / Bayern,13176426
Berlin / Berlin,3662381
Brandenburg / Brandenburg,2554464
Bremen / Bremen,702655
Hamburg / Hamburg,1851596
Hesse / Hessen,6267546
Lower Saxony / Niedersachsen,8008135
Mecklenburg-Western Pomerania / Mecklenburg-Vorpommern,1578041
North Rhine-Westphalia / Nordrhein-Westfalen,18017520
Rhineland-Palatinate / Rheinland-Pfalz,4125163
Saarland / Saarland,1014047
Saxony / Sachsen,4054689
Saxony-Anhalt / Sachsen-Anhalt,2144570
Schleswig-Holstein / Schleswig-Holstein,2953202
Thuringia / Thüringen,2114870
